Competency,Active (y/n),Mastery,Competency_Abbreviation,Lens,Lens_Description,Source,Competency_Description,End1,End2,End3,End4,End5,End6,Dev1,Dev2,Dev3,Dev4,Dev5,Dev6,Time1,Time2,Time3,Time4,Time5,Time6
Photo-Visual,Y,1,PhV,,,"Eshet, 2012","""...helps users to intuitively and freely ‘read’ and understand instructions and messages that are presented in a visual-graphical form."" (p. 268)",Your learner goal here. ,Ex. Understand instructions and messages communicated through symbols and graphics.,,,,,Your activity here.,Ex. Identifying the original source and context for an image in a popular meme or for clips in a video montage.,,,,,Your time here.,Ex. 1 Week,,,,
Reproduction - Reuse and Remix,Y,1,RRR,,,"Eshet, 2012","""...the ability to create new meanings or new interpretations by combining preexisting, independent shreds of information in any form of media (text, graphic, or sound) (Gilster, 1997)."" (p. 269)",Your learner goal here. ,Ex. Understand licensing and intellectual property.,,,,,Your activity here.,Ex. Identifying the licensing/citation procedure for a website or piece of multimedia content.,,,,,Your time here.,Ex. 1 Week,,,,
Branching,Y,1,Brg,,,"Eshet, 2012","""...utilize non-linear and branching information-seeking strategies and to construct knowledge from independent shreds of information that were accessed in a non-orderly and non-linear way (Balcytiene, 20003; Jansen & Pooch, 2001; Rouet, 2000; Zins, 2000)."" (p. 270)",Your learner goal here. ,Ex. Understand the nonlinear relationships articulated among multimedia digital components.,,,,,Your activity here.,Ex. Using tags and filters to navigate a course blog or identifying online resources that provide rich context on a topic through hyperlinks.,,,,,Your time here.,Ex. 1 Week,,,,
Information,Y,1,Inf,,,"Eshet, 2012","...identify false, irrelevant, or biased information, and avoid its penetration into the learner’s cognition. Skilled information consumers are critical thinkers - people who always question information and never take it for granted (Paul & Elder, 2005). (p. 271)",Your learner goal here. ,Ex. Understand the characteristics of high quality and valid information.,,,,,Your activity here.,Ex. Accessing and explaining the significance of revision history in Wikipedia or explaining components of a news item’s URL,,,,,Your time here.,Ex. 1 Week,,,,
Real-Time Thinking,Y,1,RTT,,,"Eshet, 2012","""...real-time and high speed processing of simultaneous large fluxes of information have become common in our lives, mainly in operating multimedia programs and advanced machines."" (p. 272)",Your learner goal here. ,Ex. Discern the interaction of different multimedia stimuli in a given task or environment.,,,,,Your activity here.,Ex. Identifying different live information streams on a website.,,,,,Your time here.,Ex. 1 Week,,,,
Reproduction - Intellectual Property,Y,1,InP,,,"Eshet, 2012","""...the ability to create new meanings or new interpretations by combining preexisting, independent shreds of information in any form of media (text, graphic, or sound) (Gilster, 1997)."" (p. 269)",Your learner goal here. ,Ex. Understand licensing and intellectual property.,,,,,Your activity here.,Ex. Identifying the licensing/citation procedure for a website or piece of multimedia content.,,,,,Your time here.,Ex. 1 Week,,,,
Socio-Emotional,Y,1,SEm,,,"Eshet, 2012","""...employ sociological and emotional skills in order to ""understand the rules of the game"" and “survive” the hurdles that await them in the mass communication that takes place in the cyberspace (Boyd, 2007; Bruns, 2008; Roblyer et al., 2010; Utz, 2000). Such challenges include not only the ability to share formal knowledge (Wang & Noe, 2010), but also to share emotions in digital communication (Amichai-Hamburger, 2002; Amichai-Hamburger & Hayat, 2011), to identify deception in chat rooms (Caspi & Gorsky, 2006) and to avoid Internet traps as a hoax and malicious Internet viruses."" (p. 271)",Your learner goal here. ,"Ex. Understand the ""rules"" of cyberspace interactions in a variety of contexts, including virtual collaboration.",,,,,Your activity here.,"Ex. Identifying appropriate and inappropriate behavior on internet discussion boards or identifying different venues (social media, document sharing, etc.) for collaboration based on nature and goals of a project.",,,,,Your time here.,Ex. 1 Week,,,,
Photo-Visual,Y,2,PhV,,,"Eshet, 2012","""...helps users to intuitively and freely ‘read’ and understand instructions and messages that are presented in a visual-graphical form."" (p. 268)",Your learner goal here. ,Ex. Follow instructions and messages communicated through symbols and graphics.,,,,,Your activity here.,Ex. Explaining the meaning added to a meme by the image’s original context or the meaning added to a video montage by the clips’ original contexts,,,,,Your time here.,Ex. 2 Weeks,,,,
Reproduction - Reuse and Remix,Y,2,RRR,,,"Eshet, 2012","""...the ability to create new meanings or new interpretations by combining preexisting, independent shreds of information in any form of media (text, graphic, or sound) (Gilster, 1997)."" (p. 269)",Your learner goal here. ,Ex. Select materials that fit a specific license.,,,,,Your activity here.,"Ex. Selecting rights-free content or obtain rights for images, audio, or video content for a public-facing digital project such as a blog, video, or exhibit.",,,,,Your time here.,Ex. 2 Weeks,,,,
Branching,Y,2,Brg,,,"Eshet, 2012","""...utilize non-linear and branching information-seeking strategies and to construct knowledge from independent shreds of information that were accessed in a non-orderly and non-linear way (Balcytiene, 20003; Jansen & Pooch, 2001; Rouet, 2000; Zins, 2000)."" (p. 270)",Your learner goal here. ,Ex. Navigate articulated nonlinear pathways among multimedia digital components.,,,,,Your activity here.,Ex. Applying appropriate tags to posts in a course blog or generating a list of related resources from navigating hyperlinks in a document.,,,,,Your time here.,Ex. 2 Weeks,,,,
Information,Y,2,Inf,,,"Eshet, 2012","...identify false, irrelevant, or biased information, and avoid its penetration into the learner’s cognition. Skilled information consumers are critical thinkers - people who always question information and never take it for granted (Paul & Elder, 2005). (p. 271)",Your learner goal here. ,Ex. Assess the quality and validity of information based on existing standards.,,,,,Your activity here.,Ex. Recommending Wikipedia articles based on an assessment of their revision history and citations or identifying content and sources as “fake news”.,,,,,Your time here.,Ex. 2 Weeks,,,,
Real-Time Thinking,Y,2,RTT,,,"Eshet, 2012","""...real-time and high speed processing of simultaneous large fluxes of information have become common in our lives, mainly in operating multimedia programs and advanced machines."" (p. 272)",Your learner goal here. ,Ex. Integrate different multimedia stimuli to complete a task or navigate an environment.,,,,,Your activity here.,Ex. Providing real-time updates on social media of a guest lecture presentation.,,,,,Your time here.,Ex. 2 Weeks,,,,
Reproduction - Intellectual Property,Y,2,InP,,,"Eshet, 2012","""...the ability to create new meanings or new interpretations by combining preexisting, independent shreds of information in any form of media (text, graphic, or sound) (Gilster, 1997)."" (p. 269)",Your learner goal here. ,Ex. Select materials that fit a pre-determined license.,,,,,Your activity here.,"Ex. Selecting rights-free content or obtain rights for images, audio, or video content for a public-facing digital project such as a blog, video, or exhibit",,,,,Your time here.,Ex. 2 Weeks,,,,
Socio-Emotional,Y,2,SEm,,,"Eshet, 2012","""...employ sociological and emotional skills in order to ""understand the rules of the game"" and “survive” the hurdles that await them in the mass communication that takes place in the cyberspace (Boyd, 2007; Bruns, 2008; Roblyer et al., 2010; Utz, 2000). Such challenges include not only the ability to share formal knowledge (Wang & Noe, 2010), but also to share emotions in digital communication (Amichai-Hamburger, 2002; Amichai-Hamburger & Hayat, 2011), to identify deception in chat rooms (Caspi & Gorsky, 2006) and to avoid Internet traps as a hoax and malicious Internet viruses."" (p. 271)",Your learner goal here. ,"Ex. Apply “rules” of cyberspace interaction to virtual communication in a variety of contexts, including virtual collaboration.",,,,,Your activity here.,"Ex. Implementing appropriate communication strategies in email, discussion forums, and social media posts for a class project.",,,,,Your time here.,Ex. 2 Weeks,,,,
Photo-Visual,Y,3,PhV,,,"Eshet, 2012","""...helps users to intuitively and freely ‘read’ and understand instructions and messages that are presented in a visual-graphical form."" (p. 268)",Your learner goal here. ,Ex. Create symbols and graphics that communicate instructions and messages.,,,,,Your activity here.,Ex. Creating a meme to convey a particular meaning by re-using an image from a particular context or creating a video montage on a topic by re-mixing video clips from different contexts.,,,,,Your time here.,Ex. 3 Weeks,,,,
Reproduction - Reuse and Remix,Y,3,RRR,,,"Eshet, 2012","""...the ability to create new meanings or new interpretations by combining preexisting, independent shreds of information in any form of media (text, graphic, or sound) (Gilster, 1997)."" (p. 269)",Your learner goal here. ,Ex. Evaluate license options to determine the appropriate license for the digital object.,,,,,Your activity here.,Ex. Selecting a creative commons license for a public-facing digital project created by the class or an individual.,,,,,Your time here.,Ex. 3 Weeks,,,,
Branching,Y,3,Brg,,,"Eshet, 2012","""...utilize non-linear and branching information-seeking strategies and to construct knowledge from independent shreds of information that were accessed in a non-orderly and non-linear way (Balcytiene, 20003; Jansen & Pooch, 2001; Rouet, 2000; Zins, 2000)."" (p. 270)",Your learner goal here. ,Ex. Create a nonlinear navigational strategy among multimedia digital components.,,,,,Your activity here.,Ex. Contributing tags or filters to a course blog or creating a research summary that makes effective use of hyperlinks to present relationships among data.,,,,,Your time here.,Ex. 3 Weeks,,,,
Information,Y,3,Inf,,,"Eshet, 2012","...identify false, irrelevant, or biased information, and avoid its penetration into the learner’s cognition. Skilled information consumers are critical thinkers - people who always question information and never take it for granted (Paul & Elder, 2005). (p. 271)",Your learner goal here. ,Ex. Create information that meets existing standards for quality and validity and articulate standards for assessing the quality and validity of new information.,,,,,Your activity here.,"Ex. Authoring an appropriately cited and factually correct Wikipedia article or articulating a set of criteria for judging the validity of information found on the internet on a particular topic (ie, credible and authoritative websites, databases, authors, etc.).
",,,,,Your time here.,Ex. 3 Weeks,,,,
